mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.08575265407562256,0.010564372153655887,0.1456826686859131,0.02639625283349825,13,{'n_neighbors': 13},-13236689738.267801,-12553957632.271856,-13241042986.080578,-12912197953.58417,-12690892542.431332,-12710163468.099125,-13180855543.357979,-12604191938.936056,-12631680875.995785,-13109292723.84338,-12887096540.286808,266428995.27996373,13
0.08095152378082275,0.01817268512263944,0.14187581539154054,0.02401766918054469,14,{'n_neighbors': 14},-13859782368.694,-13159466631.807997,-13888946590.352617,-13509580303.504492,-13322678730.624905,-13355195683.87807,-13865025339.930246,-13239460799.353643,-13261042625.358541,-13763803067.630268,-13522498214.113476,277838774.3721364,14
0.07609961032867432,0.005184011606654101,0.14094183444976807,0.011711946895919596,15,{'n_neighbors': 15},-14455771046.675634,-13767099355.080961,-14477380199.559088,-14087315547.270844,-13899861587.367426,-13937397180.355345,-14490424666.516178,-13859232754.74953,-13883382212.99615,-14372349566.127766,-14123021411.669895,277968637.2671227,15
0.08267197608947754,0.014950656025290242,0.16419758796691894,0.029821244288981214,16,{'n_neighbors': 16},-15012900465.414286,-14292215318.10281,-15059511497.654497,-14644045106.752203,-14486790198.663334,-14495022520.06197,-15027958365.072464,-14477193509.021532,-14492701248.571575,-14923168885.14385,-14691150711.445852,270784443.41256315,16
0.0905674934387207,0.010486169837370454,0.18540620803833008,0.020048400958476736,17,{'n_neighbors': 17},-15495219661.57113,-14810060713.442764,-15586720017.634167,-15146988776.198565,-15045983832.223679,-14988346031.986782,-15535436040.437416,-15018489516.45195,-15041603885.988165,-15402193986.158457,-15207104246.209305,259040279.97049606,17
0.07753748893737793,0.007061731833278461,0.15142598152160644,0.010493717904014788,18,{'n_neighbors': 18},-15949239231.704554,-15257712425.698545,-16058675360.301596,-15620972286.10108,-15556032693.778051,-15478238526.716768,-16014331667.388237,-15499755789.56669,-15537287830.372316,-15847815280.770878,-15682006109.239872,254268670.93880042,18
0.08704807758331298,0.015792295639692405,0.1728513717651367,0.018944153506514346,19,{'n_neighbors': 19},-16363116043.298447,-15700685596.697971,-16493034116.725334,-16056833291.074673,-16016729141.421328,-15903872432.404552,-16477185430.09511,-15950153805.209023,-15991297282.422222,-16265476135.643412,-16121838327.499207,250913037.289883,19
0.0880965232849121,0.008386458241401459,0.18718743324279785,0.020835264052220488,20,{'n_neighbors': 20},-16730873708.647749,-16132968545.818928,-16883070073.770536,-16431121443.744942,-16466163164.46509,-16333930519.718782,-16911109967.279764,-16358863525.683119,-16418336150.87624,-16646388260.083935,-16531282536.008907,239889379.56592947,20
0.09066708087921142,0.011455313686062871,0.18578362464904785,0.02565582334212714,21,{'n_neighbors': 21},-17075795898.56872,-16524989367.04423,-17244862250.96325,-16796916661.56369,-16824344071.759857,-16729892682.931437,-17316064868.851925,-16774158940.440765,-16823111463.755205,-17019224960.59894,-16912936116.647802,233056343.5833529,21
0.07722616195678711,0.004899411012685488,0.17134521007537842,0.01345322864872672,22,{'n_neighbors': 22},-17419535461.973125,-16895419339.410944,-17579810667.311207,-17148949422.77099,-17164227616.010227,-17119349749.294594,-17673089981.35969,-17147598721.80088,-17193610700.20787,-17342314409.020473,-17268390606.916,222641666.39371026,22
0.08763978481292725,0.014703570152470856,0.18826866149902344,0.025185216538257768,23,{'n_neighbors': 23},-17724337913.603374,-17219557428.362965,-17876462768.42012,-17487970835.39479,-17479176720.069508,-17479191570.83773,-18027872378.663193,-17510231904.663548,-17523890172.01989,-17628089099.678368,-17595678079.17135,218151232.27938944,23
0.10617890357971191,0.019689701869377376,0.24844694137573242,0.03670833710548547,24,{'n_neighbors': 24},-18022699080.284348,-17531178270.905457,-18158516135.200024,-17802421298.516098,-17766782294.945248,-17800346069.008785,-18354576345.30975,-17829706799.838448,-17826697302.36956,-17904090891.834892,-17899701448.821266,217275057.8071431,24
0.09109349250793457,0.014663421909290101,0.20018129348754882,0.026360615101229463,25,{'n_neighbors': 25},-18310032496.814453,-17814048963.28738,-18399831080.292877,-18090648824.024765,-18034340961.794285,-18101654220.52791,-18657322414.08567,-18115417021.203163,-18106812003.541935,-18124863489.17284,-18175497147.47453,217874728.58589154,25
0.09397494792938232,0.012201739089438434,0.23579232692718505,0.03833362653274869,26,{'n_neighbors': 26},-18539073707.656902,-18080929901.92886,-18655844380.75483,-18361081506.765804,-18281506108.046047,-18405479475.774784,-18935064849.93234,-18339584158.000664,-18344776407.870556,-18352349221.183395,-18429568971.79142,221067979.48329484,26
0.10017571449279786,0.02223647932405356,0.22423760890960692,0.02625790719506512,27,{'n_neighbors': 27},-18759251369.5496,-18307343397.629593,-18863694548.674435,-18616551838.89427,-18529202693.224674,-18628421505.113506,-19172963532.729095,-18559885274.77772,-18578137347.25319,-18547302603.652477,-18656275411.149853,220934351.73564836,27
0.09942460060119629,0.02129248044295787,0.2451951265335083,0.03155626651973317,28,{'n_neighbors': 28},-18972915329.1578,-18531750161.46465,-19051565511.44675,-18845116471.03407,-18750913283.591595,-18856073545.50463,-19403968406.892647,-18761084757.811024,-18799276867.95819,-18744473480.578674,-18871713781.544003,221512849.04445148,28
0.07652738094329833,0.0072156477878291365,0.1811302661895752,0.015108149839315127,29,{'n_neighbors': 29},-19186013843.141888,-18756426729.80946,-19255375106.384617,-19036220479.7885,-18960756697.478973,-19093539587.042416,-19644238389.182228,-18958720127.123123,-18999905624.69075,-18936187600.338806,-19082738418.498077,228715948.14267954,29
