mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.050281310081481935,0.004027951767700136,0.0028474092483520507,0.0003125112567586996,3,{'max_depth': 3},0.2672651547068676,0.2652793065360399,0.2651397163014354,0.25158497915502787,0.2708216382136134,0.25882989500720555,0.25541525269472176,0.2709822336433352,0.2641715066533835,0.26365245992147,0.26331421428331003,0.005990750712118775,27
0.05924112796783447,0.0029150646696282177,0.0028049707412719726,0.0001422931316977367,4,{'max_depth': 4},0.3432090063980142,0.3407087011907548,0.3405698409677107,0.32665826611167614,0.3482263944096142,0.3320840543795369,0.33209239023878023,0.3451888169338553,0.33579650497690217,0.33854130826808393,0.3383075283874929,0.006325100671606815,26
0.06946876049041747,0.0017372157742062367,0.0028250455856323243,0.0001375195574162387,5,{'max_depth': 5},0.40556627409110935,0.4026431663653103,0.3957243070755274,0.3835453462145504,0.4128792841111333,0.3898451563238199,0.39355394197619864,0.4011451377037132,0.3989269046330389,0.3963263448940405,0.3980155863388442,0.007836676784858498,25
0.0831040620803833,0.005358682075110489,0.002959322929382324,0.00016896652707581292,6,{'max_depth': 6},0.47350016686425134,0.47389726556648515,0.46491158205051974,0.4660349668698721,0.4855163835917632,0.4657312400910226,0.4734213151928477,0.47325476573973857,0.47621716053856056,0.4661228094700697,0.47186076559751305,0.006077778426368221,24
0.08971948623657226,0.0038619663313236674,0.002975869178771973,0.0001277484502551235,7,{'max_depth': 7},0.4990875074359089,0.5060523965214863,0.4924828953989625,0.4986912939971656,0.5119032147270475,0.4928539759813628,0.5005017603008263,0.5040958116098353,0.5072656231918589,0.4975512130649956,0.5010485692229449,0.005943519153157933,23
0.10560283660888672,0.01295254559957383,0.0034181356430053713,0.0006230112332151836,8,{'max_depth': 8},0.5228520757922708,0.5265975481395165,0.5190945697534802,0.5255655843808553,0.5342918915711135,0.5174337270547056,0.5242520109123768,0.5242015190644215,0.5304346526755654,0.5265250272605415,0.5251248606604848,0.004678138318651638,22
0.12807829380035402,0.018173561251981916,0.0035288095474243163,0.00030718206228439544,9,{'max_depth': 9},0.5377362432405779,0.5477810497963181,0.5423221201099324,0.5453366448568009,0.5551034930424077,0.539397152477755,0.5486137153939846,0.5451553173790471,0.549643492754076,0.5435583655225636,0.5454647594573464,0.004856095412356662,21
0.14492788314819335,0.012405228116147622,0.004527473449707031,0.0014881678211673757,10,{'max_depth': 10},0.5647021470661304,0.5694189697380782,0.5706051839380405,0.571861117567632,0.5747747141324066,0.5688013897662346,0.5752272204929598,0.565431958594286,0.5736062833553399,0.5630104497766373,0.5697439434427746,0.004072636594855317,20
0.13851664066314698,0.012164781571870835,0.003731179237365723,0.0005078113472407424,11,{'max_depth': 11},0.5907891655392792,0.5997474539757555,0.6028848860551292,0.6003532222242225,0.5995657229851501,0.59592785461467,0.6089722992051458,0.5911888763291904,0.6035080431937845,0.5913720522653733,0.59843095763877,0.005747943216745873,19
0.17963287830352784,0.058340686609397174,0.004595494270324707,0.001472988709534639,12,{'max_depth': 12},0.618882270247965,0.6297188383232543,0.6362263457852098,0.6307213959739528,0.6337870388780615,0.6262880682999754,0.6385978186794097,0.6203393770018899,0.6401136982537163,0.6217453390505718,0.6296420190494008,0.00726282176587395,18
0.19146285057067872,0.06033270427767956,0.00474097728729248,0.0015506184452069086,13,{'max_depth': 13},0.6488169325215849,0.6594883208027038,0.671219942386019,0.6596991727128221,0.6639440338216975,0.6547451311868837,0.6671371322344777,0.6498252407151168,0.6698420362766702,0.6593977107562489,0.6604115653414224,0.007378810339067868,17
0.18017632961273194,0.03160103481614565,0.005038619041442871,0.0009731533526380979,14,{'max_depth': 14},0.6851040119536427,0.6945316899573318,0.702404303147177,0.6893874716807569,0.7024175393112679,0.6902596379356745,0.6981458676109829,0.6816401055116409,0.6961282482628623,0.688713375071472,0.692873225044281,0.006677657812828037,16
0.1483837127685547,0.011447862078166766,0.0038589000701904296,0.0001740855079692583,15,{'max_depth': 15},0.7174625285470757,0.7293648920282909,0.7329698151599815,0.7178592795888012,0.7344743453626734,0.7263328443678209,0.7324133028632998,0.713783385824982,0.7270880441866203,0.7258653168500051,0.725761375477955,0.006797018189203275,15
0.1582813262939453,0.015270651922554786,0.004135608673095703,0.0002695568089092248,16,{'max_depth': 16},0.7426599078983613,0.7546476257030985,0.7607531827620344,0.7468156621185282,0.7661158422073887,0.757012108370705,0.7644690908569358,0.7419679087499877,0.7590916262092038,0.7483990621073833,0.7541932016983626,0.008327056516902357,14
0.17098655700683593,0.01590944665626339,0.004777646064758301,0.0008429796584997087,17,{'max_depth': 17},0.7727305927387527,0.7827223164276669,0.7919477877505983,0.773792580671377,0.7954625547985092,0.7845652632809973,0.7900920652504582,0.7718582237649759,0.7866139798605317,0.7728289561879325,0.78226143207318,0.008447694095156388,13
