mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.04713459014892578,0.0022856871196945895,0.0027523279190063477,0.00039745029957266316,3,{'max_depth': 3},0.2672651547068676,0.2652793065360399,0.2651397163014354,0.25158497915502787,0.2708216382136134,0.25882989500720555,0.25541525269472176,0.2709822336433352,0.2641715066533835,0.26365245992147,0.26331421428331003,0.005990750712118775,27
0.06154744625091553,0.003501395878565474,0.0028428554534912108,0.00018671042245233806,4,{'max_depth': 4},0.3432090063980142,0.3407087011907548,0.3405698409677107,0.32665826611167614,0.3482263944096142,0.3320840543795369,0.33209239023878023,0.3451888169338553,0.33579650497690217,0.33854130826808393,0.3383075283874929,0.006325100671606815,26
0.07102057933807374,0.0033122309205426827,0.0028867721557617188,0.0001600473928007125,5,{'max_depth': 5},0.40556627409110935,0.4026431663653103,0.3957243070755274,0.3835453462145504,0.4128792841111333,0.3898451563238199,0.39355394197619864,0.4011451377037132,0.3989269046330389,0.3963263448940405,0.3980155863388442,0.007836676784858498,25
0.07916793823242188,0.002478487432655112,0.0029556751251220703,0.00017920131049336974,6,{'max_depth': 6},0.47350016686425134,0.47389726556648515,0.46491158205051974,0.4660349668698721,0.4855163835917632,0.4657312400910226,0.4734213151928477,0.47325476573973857,0.47621716053856056,0.4661228094700697,0.47186076559751305,0.006077778426368221,24
0.09022989273071289,0.004593634127941913,0.0029374361038208008,6.969438348875972e-05,7,{'max_depth': 7},0.4990875074359089,0.5060523965214863,0.4924828953989625,0.4986912939971656,0.5119032147270475,0.4928539759813628,0.5005017603008263,0.5040958116098353,0.5072656231918589,0.4975512130649956,0.5010485692229449,0.005943519153157933,23
0.10161316394805908,0.008928647560687338,0.003235459327697754,0.00028852313277811224,8,{'max_depth': 8},0.5228520757922708,0.5265975481395165,0.5190945697534802,0.524926879798495,0.5342918915711135,0.5174337270547056,0.5242520109123768,0.5242015190644215,0.5304346526755654,0.5265250272605415,0.5250609902022487,0.004676044759773284,22
0.11473476886749268,0.012539828186796963,0.003276419639587402,0.0005138781717638415,9,{'max_depth': 9},0.5377362432405779,0.5477810497963181,0.5423221201099324,0.5453366448568009,0.5549838918305112,0.5391514648626532,0.5485310130184775,0.5451553173790471,0.549643492754076,0.544045357577791,0.5454686595426186,0.004841831842376126,21
0.13212404251098633,0.02839877013543573,0.003882098197937012,0.0009252989181497178,10,{'max_depth': 10},0.5646939294024271,0.5690227152978815,0.5705624134902874,0.571861117567632,0.5750492522597211,0.5686778783786739,0.5751544373392297,0.5653787530297404,0.5736062833553399,0.562609109597725,0.5696615889718658,0.00417782192363314,20
0.1297773838043213,0.016543685016566157,0.003721785545349121,0.0004900196825511981,11,{'max_depth': 11},0.5899957376930794,0.6002485137107392,0.6027278486801992,0.6003314557247303,0.5999950629425714,0.5960852175056872,0.6090515100891387,0.5914167878125813,0.6035080431937845,0.5916252089730392,0.598498538632555,0.005818286576006626,19
0.14559760093688964,0.029276017657766093,0.0039101123809814455,0.0006787839905313199,12,{'max_depth': 12},0.6187212734300787,0.6296536858700588,0.636509299418251,0.6300744489491017,0.6336779687402898,0.6263793511062776,0.6390337524524929,0.6198253499867863,0.6402841628287814,0.6214378950677584,0.6295597187849877,0.007474021924541457,18
0.13073723316192626,0.008591510951619656,0.0035156965255737304,0.00020042570889399505,13,{'max_depth': 13},0.647620089413198,0.658541170423068,0.6712279640348386,0.6587544493117352,0.6647310843776539,0.6541617903183792,0.6669513050848478,0.6507738279119655,0.6697829080066499,0.6602378583249804,0.6602782447207317,0.007535962795922668,17
0.13864312171936036,0.01365982859889421,0.0037249088287353515,0.00024419021754681756,14,{'max_depth': 14},0.6842604047398132,0.6955461963898112,0.7027580419790228,0.6895402665670209,0.7014693254779428,0.6898245417077761,0.6986236148303231,0.6824315689379997,0.6963771969710906,0.6903381522125545,0.6931169309813354,0.006584350634870458,16
0.1376199960708618,0.0025709426856385343,0.0038493871688842773,0.0003750514198738377,15,{'max_depth': 15},0.7167938629167514,0.730255139775301,0.733411833811138,0.7172698644400464,0.7346538589739531,0.726435366082314,0.731389726989372,0.7126183461518143,0.727291348415124,0.7244137494517882,0.7254533097007603,0.00720000990304493,15
0.14737091064453126,0.007966053221269444,0.003933382034301758,0.00012417689234294304,16,{'max_depth': 16},0.7432127242121696,0.7537079681345935,0.7601764952819976,0.7480363505881233,0.7650262284942734,0.7583292518340926,0.7642337681682936,0.7406954012583372,0.7590299825240294,0.7495384765532926,0.7541986647049204,0.008105791409030618,14
0.19216575622558593,0.03781230759128036,0.0050030708312988285,0.001005181518594076,17,{'max_depth': 17},0.7719789161248196,0.7830071739345448,0.7903490174998887,0.7746407601427051,0.7952202866196809,0.7858848068781679,0.7890698522624618,0.771842784695674,0.7859764709844725,0.7742087539341821,0.7822178823076598,0.008027214162744644,13
0.19550566673278807,0.02539350618957856,0.005230140686035156,0.0007117751774404019,18,{'max_depth': 18},0.7994537979867123,0.8101895156624735,0.8067514370269788,0.7981560048042009,0.8171726640057144,0.8109502515271451,0.8109858507468305,0.7982271965005181,0.8094797787951681,0.7983088161774561,0.8059675313233198,0.006544913601459859,12
0.18777835369110107,0.020805742045007642,0.005176758766174317,0.0010218803448733523,19,{'max_depth': 19},0.8226541638747016,0.8316419223198079,0.8318238293248991,0.8171020746672022,0.8341865620443814,0.8302174712122293,0.8358069638869361,0.8212794896831166,0.8341160313697763,0.8243588804555972,0.8283187388838646,0.0061170281050229565,11
